dim,theoretical_cycles,lowerb_cycles,actual_cycles,is_lower
128,1_404_343,3_658_752,4_757_248,True
129,1_415_314,3_686_400,6_391_640,True
130,1_426_286,3_714_048,3_999_040,True
131,1_437_257,3_741_696,8_527_302_570,True
132,1_448_229,3_769_344,3_769_344,True
133,1_459_200,3_796_992,5_721_752,True
134,1_470_171,3_824_640,4_978_444,True
135,1_481_143,3_852_288,4_123_464,True
136,1_492_114,3_879_936,5_052_176,True
137,1_503_086,3_907_584,8_917_866_047,True
138,1_514_057,3_935_232,4_763_904,True
139,1_525_029,3_962_880,9_048_053_872,True
140,1_536_000,3_990_528,4_228_720,True
141,1_546_971,4_018_176,6_981_496,True
142,1_557_943,4_045_824,5_273_372,True
143,1_568_914,4_073_472,6_681_760,True
144,1_579_886,4_101_120,4_101_120,True
145,1_590_857,4_128_768,6_272_000,True
146,1_601_829,4_156_416,5_420_836,True
147,1_612_800,4_184_064,4_760_064,True
148,1_623_771,4_211_712,5_494_568,True
149,1_634_743,4_239_360,9_698_993_000,True
150,1_645_714,4_267_008,4_542_816,True
151,1_656_686,4_294_656,9_829_180_825,True
152,1_667_657,4_322_304,5_642_032,True
153,1_678_629,4_349_952,4_796_928,True
154,1_689_600,4_377_600,5_715_764,True
155,1_700_571,4_405_248,6_694_400,True
156,1_711_543,4_432_896,4_432_896,True
157,1_722_514,4_460_544,10_251_578_996,True
158,1_733_486,4_488_192,5_863_228,True
159,1_744_457,4_515_840,7_866_280,True
160,1_755_429,4_543_488,4_818_560,True
161,1_766_400,4_571_136,6_901_432,True
162,1_777_371,4_598_784,5_073_408,True
163,1_788_343,4_626_432,10_643_359_084,True
164,1_799_314,4_654_080,6_084_424,True
165,1_810_286,4_681_728,5_008_216,True
166,1_821_257,4_709_376,6_158_156,True
167,1_832_229,4_737_024,10_904_545_810,True
168,1_843_200,4_764_672,4_764_672,True
169,1_854_171,4_792_320,7_863_904,True
170,1_865_143,4_819_968,5_181_320,True
171,1_876_114,4_847_616,5_349_888,True
172,1_887_086,4_875_264,6_379_352,True
173,1_898_057,4_902_912,22_520_672_338,True
174,1_909_029,4_930_560,5_980_416,True
175,1_920_000,4_958_208,5_280_112,True
176,1_930_971,4_985_856,6_526_816,True
177,1_941_943,5_013_504,8_751_064,True
